epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,2560.29,1.50761,1.09036,1.28433,0.65123,0.46154,0.5342,0.21538,2.38191,1.65004,1.98066,0.0010199,0.0010199,0.0010199
101,2585.2,1.48676,1.12048,1.30456,0.60477,0.53846,0.53861,0.20483,2.41662,1.7034,2.02646,0.00101,0.00101,0.00101
102,2609.81,1.54721,1.08517,1.31657,0.61777,0.53846,0.61222,0.24693,2.27101,1.60277,1.90614,0.0010001,0.0010001,0.0010001
103,2634.07,1.5758,1.08921,1.30409,0.55903,0.53643,0.56479,0.25889,2.23652,1.57683,1.86882,0.0009902,0.0009902,0.0009902
104,2657.82,1.43308,1.05726,1.24524,0.57068,0.61357,0.5723,0.27756,2.12038,1.54952,1.81011,0.0009803,0.0009803,0.0009803
105,2681.96,1.49155,1.03483,1.2694,0.57062,0.57692,0.60397,0.26958,2.16126,1.55797,1.83994,0.0009704,0.0009704,0.0009704
106,2705.82,1.4875,1.11289,1.2484,0.73948,0.46154,0.58842,0.24691,2.22296,1.59658,1.82731,0.0009605,0.0009605,0.0009605
107,2729.94,1.4001,1.0393,1.21903,0.77756,0.40406,0.55172,0.24252,2.20703,1.64514,1.80742,0.0009506,0.0009506,0.0009506
108,2754.62,1.45768,1.05284,1.23582,0.71674,0.42308,0.52328,0.23554,2.25224,1.82115,1.84894,0.0009407,0.0009407,0.0009407
109,2779.69,1.48998,1.04801,1.25878,0.66435,0.42308,0.50582,0.24046,2.26699,1.87596,1.875,0.0009308,0.0009308,0.0009308
110,2805.5,1.47009,1.07034,1.28581,0.75102,0.38462,0.53541,0.24729,2.21442,1.79138,1.89808,0.0009209,0.0009209,0.0009209
111,2831.39,1.40453,0.95453,1.19098,0.53059,0.57692,0.5451,0.25135,2.21932,1.64727,1.90751,0.000911,0.000911,0.000911
112,2856.01,1.4994,1.02197,1.32625,0.54365,0.65385,0.6044,0.26062,2.26318,1.62395,1.95399,0.0009011,0.0009011,0.0009011
113,2879.44,1.46837,0.97118,1.27802,0.50086,0.65617,0.6194,0.26646,2.34403,1.6297,2.01445,0.0008912,0.0008912,0.0008912
114,2902.9,1.44219,0.96299,1.18707,0.55697,0.57692,0.50611,0.20702,2.42715,1.74933,2.11374,0.0008813,0.0008813,0.0008813
115,2926.25,1.38358,0.96497,1.24459,0.55723,0.53266,0.50761,0.20377,2.43479,1.7376,2.09304,0.0008714,0.0008714,0.0008714
116,2949.57,1.4069,0.99734,1.23604,0.52791,0.5,0.50895,0.19601,2.40698,1.70958,2.05631,0.0008615,0.0008615,0.0008615
117,2972.7,1.38873,1.0226,1.26965,0.57625,0.5,0.51101,0.20756,2.37747,1.6569,2.04279,0.0008516,0.0008516,0.0008516
118,2995.81,1.34344,0.95082,1.20053,0.63555,0.46984,0.53116,0.21689,2.381,1.66,2.10548,0.0008417,0.0008417,0.0008417
119,3018.98,1.41856,1.00491,1.28149,0.5051,0.58908,0.52069,0.21419,2.41436,1.67139,2.16379,0.0008318,0.0008318,0.0008318
120,3042.37,1.41247,0.96625,1.22126,0.65003,0.42308,0.51144,0.20477,2.45118,1.72293,2.18924,0.0008219,0.0008219,0.0008219
121,3065.47,1.30935,0.93824,1.18956,0.68026,0.46154,0.51652,0.21171,2.45809,1.77288,2.13617,0.000812,0.000812,0.000812
122,3090.23,1.42209,1.07082,1.25383,0.54876,0.46797,0.51112,0.22182,2.39749,1.7147,2.07912,0.0008021,0.0008021,0.0008021
123,3117.04,1.36205,0.96289,1.24078,0.82878,0.37306,0.50142,0.21636,2.39194,1.70528,2.07393,0.0007922,0.0007922,0.0007922
124,3143.91,1.33465,0.90281,1.18928,0.83081,0.3782,0.49373,0.21061,2.44806,1.76825,2.12689,0.0007823,0.0007823,0.0007823
125,3170.26,1.28419,0.87444,1.15792,0.79501,0.38462,0.51518,0.21413,2.48466,1.74826,2.17391,0.0007724,0.0007724,0.0007724
126,3196.89,1.29595,0.92621,1.20192,0.76227,0.38462,0.52844,0.21338,2.49205,1.7283,2.16566,0.0007625,0.0007625,0.0007625
